老人ID,姓名,性别,年龄,所属社区,住址,联系电话,慢病标签,紧急联系人
E0263,老人E0263,女,60,丰台社区,丰台社区17号楼5单元254号,17139929257,无,紧急联系人李
E0264,老人E0264,男,67,石景山社区,石景山社区8号楼4单元447号,15541213474,糖尿病,紧急联系人张
E0265,老人E0265,男,73,石景山社区,石景山社区2号楼5单元393号,17871620141,糖尿病+高血压,紧急联系人赵
E0266,老人E0266,女,66,西城社区,西城社区28号楼1单元168号,13627122418,糖尿病,紧急联系人赵
E0267,老人E0267,男,86,朝阳社区,朝阳社区24号楼1单元150号,13645092164,高血压,紧急联系人刘
E0268,老人E0268,男,64,朝阳社区,朝阳社区13号楼4单元252号,18494851676,糖尿病+高血压,紧急联系人张
E0269,老人E0269,女,71,丰台社区,丰台社区3号楼4单元119号,19899299492,糖尿病,紧急联系人李
E0270,老人E0270,男,75,丰台社区,丰台社区16号楼4单元200号,17326101296,无,紧急联系人赵
E0271,老人E0271,女,85,石景山社区,石景山社区6号楼3单元160号,19895343764,无,紧急联系人张
E0272,老人E0272,女,64,海淀社区,海淀社区19号楼5单元267号,18994155849,无,紧急联系人赵
E0273,老人E0273,女,83,西城社区,西城社区7号楼4单元302号,13904676287,糖尿病,紧急联系人李
E0274,老人E0274,男,75,西城社区,西城社区10号楼2单元445号,19984844899,糖尿病,紧急联系人赵
E0275,老人E0275,男,68,石景山社区,石景山社区9号楼2单元246号,19673292101,高血压,紧急联系人刘
E0276,老人E0276,男,78,东城社区,东城社区2号楼1单元503号,13663373657,无,紧急联系人刘
E0277,老人E0277,女,76,海淀社区,海淀社区28号楼5单元264号,17446180867,糖尿病,紧急联系人赵
E0278,老人E0278,男,70,石景山社区,石景山社区28号楼4单元558号,13314069885,高血压,紧急联系人张
E0279,老人E0279,女,75,海淀社区,海淀社区15号楼2单元581号,19761052710,糖尿病,紧急联系人张
E0280,老人E0280,女,72,海淀社区,海淀社区5号楼5单元539号,17784575650,糖尿病+高血压,紧急联系人张
E0281,老人E0281,男,75,海淀社区,海淀社区29号楼1单元342号,17902517632,高血压,紧急联系人赵
E0282,老人E0282,女,79,石景山社区,石景山社区22号楼3单元169号,13229764119,无,紧急联系人张
E0283,老人E0283,男,86,西城社区,西城社区4号楼5单元275号,19130190179,高血压,紧急联系人李
E0284,老人E0284,男,66,西城社区,西城社区20号楼5单元149号,18166627397,糖尿病,紧急联系人刘
E0285,老人E0285,男,89,海淀社区,海淀社区4号楼3单元583号,19346016808,糖尿病,紧急联系人李
E0286,老人E0286,男,61,东城社区,东城社区18号楼5单元208号,15782505397,糖尿病,紧急联系人张
E0287,老人E0287,男,73,朝阳社区,朝阳社区4号楼1单元326号,18573413435,糖尿病,紧急联系人李
E0288,老人E0288,女,79,石景山社区,石景山社区27号楼1单元261号,17664141419,高血压,紧急联系人张
E0289,老人E0289,女,76,朝阳社区,朝阳社区17号楼3单元219号,18681341371,无,紧急联系人赵
E0290,老人E0290,女,70,东城社区,东城社区12号楼4单元249号,17739245880,无,紧急联系人李
E0291,老人E0291,男,73,石景山社区,石景山社区22号楼2单元565号,17105905950,无,紧急联系人赵
E0292,老人E0292,男,71,海淀社区,海淀社区17号楼4单元250号,18841410387,高血压,紧急联系人赵
E0293,老人E0293,男,70,西城社区,西城社区10号楼5单元532号,17774117271,无,紧急联系人王
E0294,老人E0294,女,80,朝阳社区,朝阳社区22号楼2单元393号,17987403043,糖尿病+高血压,紧急联系人张
E0295,老人E0295,男,77,丰台社区,丰台社区1号楼3单元243号,15157563860,糖尿病,紧急联系人刘
E0296,老人E0296,女,70,丰台社区,丰台社区22号楼3单元519号,19396172445,糖尿病+高血压,紧急联系人张
E0297,老人E0297,女,81,东城社区,东城社区26号楼2单元576号,19240641687,糖尿病+高血压,紧急联系人刘
E0298,老人E0298,男,77,海淀社区,海淀社区24号楼1单元555号,15345048171,糖尿病+高血压,紧急联系人张
E0299,老人E0299,男,80,朝阳社区,朝阳社区27号楼2单元260号,18291533673,糖尿病+高血压,紧急联系人赵
E0300,老人E0300,女,79,海淀社区,海淀社区18号楼5单元111号,13238242461,糖尿病,紧急联系人李
